"location","GEO_id","year","treat","switcher","switcher2","year_switch","multi","single","l.multi","l.single","l.total","pct_asian","pct_black","pct_hisp","pct_wnh","max.group","min.group","prop_asian_elected_past12","prop_black_elected_past12","prop_latino_elected_past12","prop_white_elected_past12","prop_min_elected_past12","H_citytract_NHW","population.th","own_rate","vacancy_rate","med_value.th","med_income.th","density"
"ALAMEDA",600562,2019,0,0,0,NA,622,61,6.43454651878745,4.12713438504509,6.52795791762255,25.8,7.73333333333333,9.3,42.8219359221526,"white","asian",0.0833333333333333,0,0,0.916666666666667,0.0833333333333333,0.041650463,78.039,0.502485768277113,0.0545234296670019,734.466666666667,90.081,6956.3
"ALBANY",600674,2010,0,0,0,NA,4,1,1.6094379124341,0.693147180559945,1.79175946922805,27,2.5,7.3,53.4624183918308,"white","asian",0,0,0,1,0,0.06390611,17.921,0.518944255342894,0.0608639587362992,625.4,71.994,10367.2
"ALBANY",600674,2011,0,0,0,NA,3,3,1.38629436111989,1.38629436111989,1.94591014905531,26.5,2.6,8.3,52.6321567766372,"white","asian",0,0,0,1,0,0.06390611,18.217,0.469109313968202,0.0679177837354781,637.8,72.479,10367.2
"ALBANY",600674,2012,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,26.4,2,7.2,51.100416373763,"white","asian",0,0,0,1,0,0.06390611,18.493,0.456644266204206,0.0621893717344208,626,73.728,10367.2
"ALBANY",600674,2013,0,0,0,NA,0,2,0,1.09861228866811,1.09861228866811,25,4.5,8.1,50.1944696041345,"white","asian",0,0,0,1,0,0.06390611,18.769,0.459216922172961,0.0635763304415383,621.9,79.926,10367.2
"ALBANY",600674,2014,0,0,0,NA,0,3,0,1.38629436111989,1.38629436111989,25.7,5.3,8.3,47.9705573080967,"white","asian",0,0,0,1,0,0.06390611,19.02,0.469341487847314,0.0551956465405545,639.5,78.769,10367.2
"ALBANY",600674,2015,0,0,0,NA,0,6,0,1.94591014905531,1.94591014905531,25.3,4.9,8.8,47.5920827055951,"white","asian",0,0,0,1,0,0.06390611,19.249,0.462793121417405,0.0604941416199694,675,79.596,10367.2
"ALBANY",600674,2016,0,0,0,NA,175,3,5.17048399503815,1.38629436111989,5.18738580584075,25.5,4.2,8.8,48.6199794026777,"white","asian",0,0,0,1,0,0.06390611,19.42,0.492999948339102,0.0549520766773163,697.6,85.458,10367.2
"ALBANY",600674,2017,0,0,0,NA,0,9,0,2.30258509299405,2.30258509299405,26.4,4.6,8.9,47.0836297124276,"white","asian",0,0,0,1,0,0.06390611,19.682,0.498572593800979,0.0458311755567064,766,87.694,10367.2
"ALBANY",600674,2018,0,0,0,NA,0,9,0,2.30258509299405,2.30258509299405,30.4,2.2,9.9,46.0218645611904,"white","asian",0,0,0,1,0,0.06390611,19.758,0.481161775159947,0.0573906389491136,812.8,88.655,10367.2
"ALBANY",600674,2019,0,0,0,NA,0,12,0,2.56494935746154,2.56494935746154,27.4333333333333,3.66666666666667,9.2,47.2418245587652,"white","asian",0,0,0,1,0,0.06390611,19.62,0.490911439100009,0.0527246303943788,758.8,87.269,10367.2
"ALHAMBRA",600884,2010,0,1,0,2018,44,13,3.80666248977032,2.63905732961526,4.06044301054642,51.1,1.6,32.2,10.9163079063186,"asian","asian",0.2,0,0.266666666666667,0.4,0.2,0.050304666,83.389,0.447089076572459,0.0571830709305751,514.8,51.527,10889
"ALHAMBRA",600884,2011,0,1,0,2018,88,12,4.48863636973214,2.56494935746154,4.61512051684126,51.4,1.7,32,10.2243670544171,"asian","asian",0.25,0,0.25,0.333333333333333,0.25,0.050304666,83.301,0.435529460288962,0.0626646287925596,505.6,52.717,10889
"ALHAMBRA",600884,2012,0,1,0,2018,4,3,1.6094379124341,1.38629436111989,2.07944154167984,51,1.9,31.6,10.5624274065116,"asian","asian",0.25,0,0.25,0.333333333333333,0.25,0.050304666,83.513,0.437616409859462,0.0643626426619514,484.9,53.917,10889
"ALHAMBRA",600884,2013,0,1,0,2018,158,1,5.06890420222023,0.693147180559945,5.07517381523383,50.9,1.6,32.2,10.5729185312474,"asian","asian",0.272727272727273,0,0.181818181818182,0.272727272727273,0.272727272727273,0.050304666,83.799,0.430130846526422,0.0591571863483416,478.5,54.148,10889
"ALHAMBRA",600884,2014,0,1,0,2018,6,11,1.94591014905531,2.484906649788,2.89037175789616,50.9,1.7,32.4,10.0616113744076,"asian","asian",0.272727272727273,0,0.181818181818182,0.272727272727273,0.272727272727273,0.050304666,84.4,0.417343169019978,0.054619388418998,484.1,53.195,10889
"ALHAMBRA",600884,2015,0,1,0,2018,264,9,5.57972982598622,2.30258509299405,5.61312810638807,51.1,1.8,32.7,10.2627916302989,"asian","asian",0.444444444444444,0,0.111111111111111,0.111111111111111,0.444444444444444,0.050304666,84.782,0.428161774329807,0.059631253223311,494.5,53.582,10889
"ALHAMBRA",600884,2016,0,1,0,2018,14,23,2.70805020110221,3.17805383034795,3.63758615972639,51.3,2.1,33,9.0990502674805,"asian","asian",0.444444444444444,0,0.111111111111111,0.111111111111111,0.444444444444444,0.050304666,84.866,0.428411805960037,0.0598844900461395,518.8,53.138,10889
"ALHAMBRA",600884,2017,0,1,0,2018,28,50,3.36729582998647,3.93182563272433,4.36944785246702,51.1,1.9,34.1,8.59947398083787,"asian","asian",0.333333333333333,0,0.222222222222222,0.222222222222222,0.333333333333333,0.050304666,85.168,0.422097693319274,0.0584382058728622,553.8,55.401,10889
"ALHAMBRA",600884,2018,1,1,0,2018,0,34,0,3.55534806148941,3.55534806148941,51.3,2,33.1,9.0404123614282,"asian","asian",0.333333333333333,0,0.222222222222222,0.222222222222222,0.333333333333333,0.050304666,84.974,0.407307541544419,0.0626552844492578,582.6,57.117,10889
"ALHAMBRA",600884,2019,1,1,0,2018,87,39,4.47733681447821,3.68887945411394,4.84418708645859,51.2333333333333,2,33.4,8.91297886991553,"asian","asian",0.333333333333333,0,0.333333333333333,0.111111111111111,0.333333333333333,0.050304666,85.0026666666667,0.419272346941243,0.0603259934560865,551.733333333333,55.2186666666667,10889
"ALISO VIEJO",600947,2010,0,0,0,NA,50,59,3.93182563272433,4.0943445622221,4.70048036579242,13,3.3,11.3,62.742558656565,"white","none",0,0,0,1,NA,0.011463161,46.329,0.663963671748297,0.0503782307207397,558.1,95.498,6400.4
"ALISO VIEJO",600947,2011,0,0,0,NA,21,105,3.09104245335832,4.66343909411207,4.84418708645859,12.9,3.2,11.8,62.6719391117631,"white","none",0.142857142857143,0,0,0.857142857142857,NA,0.011463161,47.037,0.657813899910406,0.0552913509276195,512.3,99.095,6400.4
"ALISO VIEJO",600947,2012,0,0,0,NA,0,133,0,4.89783979995091,4.89783979995091,14.8,2.9,11.3,60.7013149655604,"white","none",0.142857142857143,0,0,0.857142857142857,NA,0.011463161,47.91,0.658962204790469,0.0537488235909234,474.1,98.515,6400.4
"ALISO VIEJO",600947,2013,0,0,0,NA,0,34,0,3.55534806148941,3.55534806148941,14.3,3.3,11.4,60.2253867431616,"white","none",0.181818181818182,0,0,0.818181818181818,NA,0.011463161,48.805,0.641816270585568,0.0549646292432185,462.8,99.394,6400.4
"ALISO VIEJO",600947,2014,0,0,0,NA,0,0,0,0,0,14.3,2.9,11.6,60.3920140785242,"white","none",0.181818181818182,0,0,0.818181818181818,NA,0.011463161,49.437,0.652433677942946,0.0504501707544241,468.9,102.325,6400.4
"ALISO VIEJO",600947,2015,0,0,0,NA,637,0,6.45833828334479,0,6.45833828334479,14.8,2.6,12.3,59.2947881755604,"white","none",0.230769230769231,0,0,0.769230769230769,NA,0.011463161,49.829,0.638425400939576,0.0525043710788851,493.3,102.367,6400.4
"ALISO VIEJO",600947,2016,0,0,0,NA,200,0,5.30330490805908,0,5.30330490805908,15.3,2.1,11.4,60.739958979669,"white","none",0.230769230769231,0,0,0.769230769230769,NA,0.011463161,50.219,0.631504950892767,0.0519904174524695,539,103.261,6400.4
"ALISO VIEJO",600947,2017,0,0,0,NA,250,0,5.52545293913178,0,5.52545293913178,14.6,1.6,13.1,60.1743899311515,"white","none",0.307692307692308,0,0,0.692307692307692,NA,0.011463161,50.691,0.627085612011534,0.0568583847164662,582.3,106.353,6400.4
"ALISO VIEJO",600947,2018,0,0,0,NA,0,0,0,0,0,13.5,1.7,14.6,59.3618065783014,"white","none",0.307692307692308,0,0,0.692307692307692,NA,0.011463161,50.925,0.63167059102871,0.0564120709700248,610.6,108.558,6400.4
"ALISO VIEJO",600947,2019,0,0,0,NA,0,0,0,0,0,14.4666666666667,1.8,13.0333333333333,60.0920518297073,"white","none",0.307692307692308,0,0,0.692307692307692,NA,0.011463161,50.6116666666667,0.630087051311004,0.0550869577129868,577.3,106.057333333333,6400.4
"ALTURAS",601444,2010,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,1.3,0,11,80.7271443699259,"white","none",0,0,0,1,NA,0,2.833,0.570043103448276,0.134102379235761,132.2,32.385,1161.1
"ALTURAS",601444,2011,0,0,0,NA,0,0,0,0,0,0.9,0,7.1,83.3629576964095,"white","none",0,0,0,1,NA,0,2.813,0.533920058672534,0.134502923976608,134.8,32.237,1161.1
"ALTURAS",601444,2012,0,0,0,NA,0,0,0,0,0,0,0,6.7,82.1991404011461,"white","none",0,0,0,1,NA,0,2.792,0.634218289085546,0.119436201780415,134.1,35.944,1161.1
"ALTURAS",601444,2013,0,0,0,NA,0,0,0,0,0,0,0,10.8,80.8110065170167,"white","none",0,0,0,1,NA,0,2.762,0.568401486988848,0.108571428571429,135.4,27.5,1161.1
"ALTURAS",601444,2014,0,0,0,NA,0,0,0,0,0,0,0,11,80.9874723655122,"white","none",0,0,0,1,NA,0,2.714,0.592760180995475,0.159891598915989,131.8,31.087,1161.1
"ALTURAS",601444,2015,0,0,0,NA,0,0,0,0,0,0,0,10.7,78.7218045112782,"white","none",0,0,0,1,NA,0,2.66,0.675696299122472,0.156332453825858,97.7,29.73,1161.1
"ALTURAS",601444,2016,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,0.9,0,8.7,84.9006116207951,"white","none",0,0,0,1,NA,0,2.616,0.68958818958819,0.128440366972477,93.3,29.839,1161.1
"ALTURAS",601444,2017,0,0,0,NA,0,0,0,0,0,1.3,0,10.7,84.8450057405281,"white","none",0,0,0,1,NA,0,2.613,0.573203883495146,0.147498375568551,95.8,32.411,1161.1
"ALTURAS",601444,2018,0,0,0,NA,0,0,0,0,0,0.7,1.4,5.3,81.9169577027551,"white","none",0,0,0,1,NA,0,2.577,0.629483642096965,0.148563419761738,90,35.888,1161.1
"ALTURAS",601444,2019,0,0,0,NA,0,0,0,0,0,0.966666666666667,0.466666666666667,8.23333333333333,83.8875250213595,"white","none",0,0,0,1,NA,0,2.602,0.630758571726767,0.141500720767589,93.0333333333333,32.7126666666667,1161.1
"AMADOR CITY",601514,2010,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,0,0,0,100,"white","none",0,0,0.0666666666666667,0.933333333333333,NA,0,0.128,0.515625,0.263736263736264,422.2,51.607,589.6
"AMADOR CITY",601514,2011,0,0,0,NA,0,0,0,0,0,0,0,0,100,"white","none",0,0,0.133333333333333,0.866666666666667,NA,0,0.158,0.474683544303797,0.231578947368421,243.2,63.036,589.6
"AMADOR CITY",601514,2012,0,0,0,NA,0,0,0,0,0,0,0,0,89.0625,"white","none",0,0,0.133333333333333,0.866666666666667,NA,0,0.192,0.328125,0.20952380952381,234.1,46.094,589.6
"AMADOR CITY",601514,2013,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,0,0,0,87.5862068965517,"white","none",0,0,0.133333333333333,0.866666666666667,NA,0,0.145,0.572413793103448,0.219047619047619,231.8,32.5,589.6
"AMADOR CITY",601514,2014,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,0,0,0,87.1951219512195,"white","none",0,0,0.133333333333333,0.866666666666667,NA,0,0.164,0.536585365853659,0.232142857142857,229.2,48.75,589.6
"AMADOR CITY",601514,2015,0,0,0,NA,0,0,0,0,0,0,0,4.8,86.1842105263158,"white","none",0,0,0.153846153846154,0.846153846153846,NA,0,0.152,0.467105263157895,0.184466019417476,216.7,43.75,589.6
"AMADOR CITY",601514,2016,0,0,0,NA,0,0,0,0,0,0,0,10.5,86.7816091954023,"white","none",0,0,0.153846153846154,0.846153846153846,NA,0,0.174,0.367816091954023,0.227642276422764,275,47.813,589.6
"AMADOR CITY",601514,2017,0,0,0,NA,0,0,0,0,0,0,0,12.7,83.1081081081081,"white","none",0,0,0.166666666666667,0.833333333333333,NA,0,0.148,0.378378378378378,0.330188679245283,271.9,49.063,589.6
"AMADOR CITY",601514,2018,0,0,0,NA,0,0,0,0,0,0,0,17.1,79.0419161676647,"white","none",0,0,0.166666666666667,0.833333333333333,NA,0,0.167,0.437125748502994,0.315315315315315,295,42.5,589.6
"AMADOR CITY",601514,2019,0,0,0,NA,0,0,0,0,0,0,0,13.4333333333333,82.9772111570583,"white","none",0,0,0.181818181818182,0.818181818181818,NA,0,0.163,0.394440072945132,0.291048756994454,280.633333333333,46.4586666666667,589.6
"AMERICAN CANYON",601640,2010,0,0,0,NA,0,32,0,3.49650756146648,3.49650756146648,24.2,7.9,22.9,31.4096766900294,"white","hisp",0,0,0.0666666666666667,0.933333333333333,0.0666666666666667,0.013357944,17.692,0.855923581279674,0.0442699036058551,419,80.556,4022.1
"AMERICAN CANYON",601640,2011,0,0,0,NA,0,30,0,3.43398720448515,3.43398720448515,27.1,8.5,22.2,30.3585915950024,"white","hisp",0,0.0714285714285714,0.0714285714285714,0.857142857142857,0.0714285714285714,0.013357944,18.489,0.774983635173467,0.0465655664585192,371.7,83.581,4022.1
"AMERICAN CANYON",601640,2012,0,0,0,NA,0,28,0,3.36729582998647,3.36729582998647,28.7,7.9,19.7,29.2884404245308,"white","hisp",0,0.0714285714285714,0.0714285714285714,0.857142857142857,0.0714285714285714,0.013357944,19.127,0.772423236951598,0.0484902309058615,337.9,83.609,4022.1
"AMERICAN CANYON",601640,2013,0,0,0,NA,0,0,0,0,0,30.3,8.7,22.1,26.6280016280016,"white","hisp",0,0.0714285714285714,0.0714285714285714,0.857142857142857,0.0714285714285714,0.013357944,19.656,0.761846279807594,0.0315096952908587,330.2,83.23,4022.1
"AMERICAN CANYON",601640,2014,0,0,0,NA,0,0,0,0,0,30.8,7.9,23.8,26.2581512270397,"white","hisp",0,0.0714285714285714,0.0714285714285714,0.857142857142857,0.0714285714285714,0.013357944,20.089,0.738921676502951,0.0360798791743581,315.4,81.955,4022.1
"AMERICAN CANYON",601640,2015,0,0,0,NA,0,0,0,0,0,30.5,8.1,24.1,25.2133589857432,"white","hisp",0,0.0909090909090909,0,0.909090909090909,0,0.013357944,20.271,0.745022288261516,0.0269416264759687,343.2,75.997,4022.1
"AMERICAN CANYON",601640,2016,0,0,0,NA,0,0,0,0,0,30.7,7.8,23.8,24.5893577259762,"white","hisp",0,0.0909090909090909,0,0.909090909090909,0,0.013357944,20.334,0.766416510318949,0.0328622509790567,374.2,83.673,4022.1
"AMERICAN CANYON",601640,2017,0,0,0,NA,70,0,4.26267987704132,0,4.26267987704132,31.1,8,25,23.1355390590433,"white","hisp",0,0.0909090909090909,0,0.909090909090909,0,0.013357944,20.341,0.785590920305946,0.0294740557712672,418.6,91.705,4022.1
"AMERICAN CANYON",601640,2018,0,0,0,NA,159,3,5.07517381523383,1.38629436111989,5.09375020080676,31.8,7.6,24.9,22.9735053678716,"white","hisp",0,0.0909090909090909,0,0.909090909090909,0,0.013357944,20.306,0.780085039058637,0.034935272211385,468.4,98.247,4022.1
"AMERICAN CANYON",601640,2019,0,0,0,NA,0,1,0,0.693147180559945,0.693147180559945,31.2,7.8,24.5666666666667,23.5661340509637,"white","hisp",0,0.2,0,0.7,0,0.013357944,20.327,0.777364156561178,0.032423859653903,420.4,91.2083333333333,4022.1
"ANAHEIM",602000,2010,0,1,1,2016,28,59,3.36729582998647,4.0943445622221,4.47733681447821,15.5,3.3,39.4,28.8287557913638,"white","hisp",0.166666666666667,0,0.25,0.583333333333333,0.25,0.12322729,333.039,0.498662485290371,0.0548976677772489,503,57.807,6747.5
"ANAHEIM",602000,2011,0,1,1,2016,106,41,4.67282883446191,3.73766961828337,4.99721227376411,15.3,3.1,40.3,27.8871953130363,"white","hisp",0.166666666666667,0,0.25,0.583333333333333,0.25,0.12322729,335.057,0.493390395248328,0.0545656058014771,457.8,59.33,6747.5
