GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371041031,060371041031,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",16,14,16,14,16,14,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371041032,060371041032,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",41,32,24,22,24,22,0,12,0,12,0,12,17,25,0,12,17,25
1500000US060371041051,060371041051,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",56,44,49,45,35,38,14,21,14,21,0,12,7,11,7,11,0,12
1500000US060371041052,060371041052,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",81,44,66,44,6,11,60,40,27,30,33,38,15,16,15,16,0,12
1500000US060371041081,060371041081,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",25,30,0,12,0,12,0,12,0,12,0,12,25,30,25,30,0,12
1500000US060371041082,060371041082,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",72,57,10,16,0,12,10,16,10,16,0,12,62,55,42,45,20,32
1500000US060371041083,060371041083,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",8,12,8,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371041241,060371041241,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",57,35,40,29,30,26,10,15,0,12,10,15,17,21,10,17,7,13
1500000US060371041242,060371041242,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",170,56,116,47,93,46,23,25,19,24,4,8,54,42,11,16,43,40
1500000US060371041243,060371041243,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",217,84,136,59,114,63,22,20,17,18,5,8,81,74,31,26,50,71
1500000US060371042011,060371042011,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371042012,060371042012,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371042013,060371042013,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371042031,060371042031,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",23,28,0,12,0,12,0,12,0,12,0,12,23,28,23,28,0,12
1500000US060371042032,060371042032,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371042041,060371042041,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",6,8,6,8,0,12,6,8,6,8,0,12,0,12,0,12,0,12
1500000US060371042042,060371042042,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",79,36,49,27,27,20,22,19,22,19,0,12,30,26,25,29,5,8
1500000US060371043101,060371043101,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371043102,060371043102,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371043103,060371043103,"Block Group 3, Census Tract 1043.10, Los Angeles County, California",22,18,18,21,18,21,0,12,0,12,0,12,4,7,4,7,0,12
1500000US060371043201,060371043201,"Block Group 1, Census Tract 1043.20, Los Angeles County, California",27,35,27,35,0,12,27,35,27,35,0,12,0,12,0,12,0,12
1500000US060371043202,060371043202,"Block Group 2, Census Tract 1043.20, Los Angeles County, California",13,24,0,12,0,12,0,12,0,12,0,12,13,24,13,24,0,12
1500000US060371043203,060371043203,"Block Group 3, Census Tract 1043.20, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371043204,060371043204,"Block Group 4, Census Tract 1043.20, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371044011,060371044011,"Block Group 1, Census Tract 1044.01, Los Angeles County, California",20,23,20,23,20,23,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371044012,060371044012,"Block Group 2, Census Tract 1044.01, Los Angeles County, California",10,12,0,12,0,12,0,12,0,12,0,12,10,12,10,12,0,12
1500000US060371044031,060371044031,"Block Group 1, Census Tract 1044.03, Los Angeles County, California",18,21,18,21,18,21,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371044032,060371044032,"Block Group 2, Census Tract 1044.03, Los Angeles County, California",9,12,0,12,0,12,0,12,0,12,0,12,9,12,9,12,0,12
1500000US060371044041,060371044041,"Block Group 1, Census Tract 1044.04, Los Angeles County, California",17,19,12,18,0,12,12,18,0,12,12,18,5,7,5,7,0,12
1500000US060371044042,060371044042,"Block Group 2, Census Tract 1044.04, Los Angeles County, California",5,7,5,7,5,7,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371045001,060371045001,"Block Group 1, Census Tract 1045, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
