"place","year","candidates","candidates_l","seats_l","totalvotes","totalvotes_l","n_elected","n_elected_l","n_elected_a","n_elected_b","n_elected_w","prop_latino_elected","prop_asian_elected","prop_black_elected","prop_white_elected","prop_latino_ran","latino_voteshare"
"03204",2002,7,1,1,12104,632,3,0,0,0,2,0,0,0,0.666666666666667,0.333333333333333,0.0522141440846001
"03204",2004,5,0,0,10322,0,2,0,0,0,2,0,0,0,1,0,0
"03204",2006,4,0,0,12066,0,3,0,0,0,3,0,0,0,1,0,0
"03204",2008,4,0,0,10537,0,2,0,0,0,2,0,0,0,1,0,0
"03204",2010,6,0,0,13655,0,3,0,0,0,3,0,0,0,1,0,0
"03204",2012,3,0,0,9505,0,2,0,0,0,2,0,0,0,1,0,0
"03204",2014,4,0,0,11084,0,3,0,0,0,3,0,0,0,1,0,0
"03204",2016,5,0,0,11431,0,2,0,0,0,2,0,0,0,1,0,0
"03204",2018,4,0,0,14624,0,3,0,0,0,3,0,0,0,1,0,0
"03274",2004,8,2,2,1783,466,2,0,0,0,2,0,0,0,1,1,0.261357263039821
"03274",2006,6,1,1,1670,368,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.220359281437126
"03274",2008,5,0,0,1471,0,2,0,0,0,2,0,0,0,1,0,0
"03274",2010,6,1,1,1610,359,2,1,0,0,1,0.5,0,0,0.5,0.5,0.222981366459627
"03274",2012,5,1,1,1468,464,2,1,0,0,1,0.5,0,0,0.5,0.5,0.316076294277929
"03274",2014,7,2,2,1660,320,2,0,0,0,2,0,0,0,1,1,0.192771084337349
"03274",2016,7,3,2,1697,788,2,1,0,0,1,0.5,0,0,0.5,1,0.464348850913377
"03274",2018,5,0,0,1514,0,2,0,0,0,2,0,0,0,1,0,0
"03302",2000,5,1,1,1645,256,3,0,0,1,2,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.155623100303951
"03302",2002,3,0,0,887,0,2,0,0,1,0,0,0,0.5,0,0,0
"03302",2004,6,3,3,1835,958,3,2,0,0,1,0.666666666666667,0,0,0.333333333333333,1,0.522070844686649
"03302",2006,5,0,0,975,0,2,0,0,1,1,0,0,0.5,0.5,0,0
"03302",2008,4,1,1,1744,535,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.306766055045872
"03302",2010,5,1,1,911,240,2,1,0,0,1,0.5,0,0,0.5,0.5,0.26344676180022
"03302",2012,6,4,3,1894,1212,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,1,0.639915522703273
"03302",2016,4,2,2,1736,893,3,2,0,0,1,0.666666666666667,0,0,0.333333333333333,0.666666666666667,0.514400921658986
"03302",2018,3,2,2,1207,850,2,2,0,0,0,1,0,0,0,1,0.704225352112676
"03386",2005,7,3,2,7208,4283,2,1,0,0,1,0.5,0,0,0.5,1,0.594200887902331
