GEO.id,GEO.id2,GEO.display-label,D001,D002,D003
Id,Id2,Geography,Total:,Occupied,Vacant
1500000US060371064033,060371064033,"Block Group 3, Census Tract 1064.03, Los Angeles County, California",301,285,16
1500000US060371064051,060371064051,"Block Group 1, Census Tract 1064.05, Los Angeles County, California",363,344,19
1500000US060371064052,060371064052,"Block Group 2, Census Tract 1064.05, Los Angeles County, California",429,409,20
1500000US060371064053,060371064053,"Block Group 3, Census Tract 1064.05, Los Angeles County, California",382,365,17
1500000US060371064061,060371064061,"Block Group 1, Census Tract 1064.06, Los Angeles County, California",1078,805,273
1500000US060371064062,060371064062,"Block Group 2, Census Tract 1064.06, Los Angeles County, California",243,233,10
1500000US060371064063,060371064063,"Block Group 3, Census Tract 1064.06, Los Angeles County, California",349,321,28
1500000US060371064071,060371064071,"Block Group 1, Census Tract 1064.07, Los Angeles County, California",535,506,29
1500000US060371064072,060371064072,"Block Group 2, Census Tract 1064.07, Los Angeles County, California",337,316,21
1500000US060371064081,060371064081,"Block Group 1, Census Tract 1064.08, Los Angeles County, California",791,730,61
1500000US060371064082,060371064082,"Block Group 2, Census Tract 1064.08, Los Angeles County, California",205,185,20
1500000US060371065101,060371065101,"Block Group 1, Census Tract 1065.10, Los Angeles County, California",463,442,21
1500000US060371065102,060371065102,"Block Group 2, Census Tract 1065.10, Los Angeles County, California",548,521,27
1500000US060371065103,060371065103,"Block Group 3, Census Tract 1065.10, Los Angeles County, California",527,483,44
1500000US060371065201,060371065201,"Block Group 1, Census Tract 1065.20, Los Angeles County, California",588,553,35
1500000US060371065202,060371065202,"Block Group 2, Census Tract 1065.20, Los Angeles County, California",540,516,24
1500000US060371065203,060371065203,"Block Group 3, Census Tract 1065.20, Los Angeles County, California",335,326,9
1500000US060371066031,060371066031,"Block Group 1, Census Tract 1066.03, Los Angeles County, California",468,457,11
1500000US060371066032,060371066032,"Block Group 2, Census Tract 1066.03, Los Angeles County, California",524,508,16
1500000US060371066041,060371066041,"Block Group 1, Census Tract 1066.04, Los Angeles County, California",91,86,5
1500000US060371066042,060371066042,"Block Group 2, Census Tract 1066.04, Los Angeles County, California",635,601,34
1500000US060371066043,060371066043,"Block Group 3, Census Tract 1066.04, Los Angeles County, California",137,132,5
1500000US060371066044,060371066044,"Block Group 4, Census Tract 1066.04, Los Angeles County, California",402,386,16
1500000US060371066411,060371066411,"Block Group 1, Census Tract 1066.41, Los Angeles County, California",787,774,13
1500000US060371066421,060371066421,"Block Group 1, Census Tract 1066.42, Los Angeles County, California",386,378,8
1500000US060371066422,060371066422,"Block Group 2, Census Tract 1066.42, Los Angeles County, California",383,372,11
1500000US060371066423,060371066423,"Block Group 3, Census Tract 1066.42, Los Angeles County, California",326,319,7
1500000US060371066431,060371066431,"Block Group 1, Census Tract 1066.43, Los Angeles County, California",782,764,18
1500000US060371066432,060371066432,"Block Group 2, Census Tract 1066.43, Los Angeles County, California",294,286,8
1500000US060371066433,060371066433,"Block Group 3, Census Tract 1066.43, Los Angeles County, California",268,262,6
1500000US060371066451,060371066451,"Block Group 1, Census Tract 1066.45, Los Angeles County, California",457,447,10
1500000US060371066452,060371066452,"Block Group 2, Census Tract 1066.45, Los Angeles County, California",748,725,23
1500000US060371066461,060371066461,"Block Group 1, Census Tract 1066.46, Los Angeles County, California",592,577,15
1500000US060371066462,060371066462,"Block Group 2, Census Tract 1066.46, Los Angeles County, California",372,356,16
1500000US060371066481,060371066481,"Block Group 1, Census Tract 1066.48, Los Angeles County, California",701,648,53
1500000US060371066482,060371066482,"Block Group 2, Census Tract 1066.48, Los Angeles County, California",304,290,14
1500000US060371066491,060371066491,"Block Group 1, Census Tract 1066.49, Los Angeles County, California",296,284,12
1500000US060371066492,060371066492,"Block Group 2, Census Tract 1066.49, Los Angeles County, California",431,425,6
1500000US060371070101,060371070101,"Block Group 1, Census Tract 1070.10, Los Angeles County, California",752,712,40
1500000US060371070201,060371070201,"Block Group 1, Census Tract 1070.20, Los Angeles County, California",1005,941,64
1500000US060371070202,060371070202,"Block Group 2, Census Tract 1070.20, Los Angeles County, California",302,284,18
