city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,DEV2015-00024,2040 S State College Blvd,0,405,0,405,405,0,405,0,2016-09-27,1,2016-10-18,1,,2016,1,LTG Platinum Center,,
Anaheim,DEV2016-00048,807 S Dale Ave,0,2,2,0,2,2,0,0,2016-09-19,1,,,,2016,0,Property Subdivide,,
Anaheim,DEV2016-00048,123 N Rio Vista St,0,2,2,0,2,2,0,0,2016-09-19,1,,,,2016,0,Property Subdivide,,
Anaheim,DEV2015-00127,2301 W Lincoln Ave,0,48,0,48,48,0,48,0,2016-11-07,1,,,,2016,0,,,
Anaheim,DEV2013-00028A,2726 W Lincoln Ave,0,35,0,35,35,0,35,1,2016-10-17,0,2017-02-28,,,2017,0,,,
Anaheim,DEV2014-00130,5055 E Short St,0,4,4,0,4,4,0,0,2016-11-28,1,,,,2016,0,,,
Anaheim,DEV2016-00027,1525 S Euclid St,0,18,0,18,18,0,18,0,2016-12-12,1,,,,2016,0,,,
Anaheim,DEV2014-00124,1700 S Lewis St,0,153,0,153,153,0,153,0,2017-01-09,1,2017-02-07,1,,2017,1,"PlatT, Trumark Homes",,
Anaheim,DEV2016-00136,2726 W Lincoln Ave,0,34,0,34,34,0,34,0,2017-01-23,1,,,,2017,0,,,
Anaheim,DEV2017-00004,1248 E Lincoln Ave,0,54,0,54,54,0,54,1,2017-05-15,1,,,,2017,0,,,
Anaheim,DEV2016-00043,3315 W Lincoln Ave,0,22,0,22,22,0,22,0,2017-04-03,1,,,,2017,0,,,
Anaheim,DEV2016-00100,2730 W Ball Rd,0,41,0,41,41,0,41,0,2017-07-10,1,,,,2017,0,Uses the term affordable but not mentioned in the development,,
Anaheim,DEV2016-00138,633 S East St,0,42,0,42,42,0,42,0,2017-08-07,1,2017-10-17,1,,2017,0,,,
Anaheim,DEV2017-00048,645 S Magnolia Ave,0,3,3,0,3,3,0,0,2017-10-16,1,,,,2017,0,Rezone and subdivide,,
Anaheim,DEV2016-00042,312 S Euclid St,0,39,27,12,39,27,12,0,2017-11-13,1,2017-12-19,1,,2017,0,Both attached and detached SFR,,
Anaheim,DEV2016-00088,901 E South St,0,546,72,474,546,72,474,0,2017-11-29,1,,,,2017,0,Both attached and detached SFR,,
Anaheim,DEV2017-00031,1041 N PacifiCenter Dr,0,406,0,406,406,0,406,0,2018-03-05,1,,,,2018,0,,,
Anaheim,DEV2016-00062,350 W Center Street Promenade,0,57,0,57,57,0,57,0,2018-08-20,1,,,,2018,0,Resolution No. PC2018-041,,
Anaheim,DEV2017-00094,3534 W Savanna St,0,19,0,19,19,0,19,0,2018-10-15,1,2018-11-20,1,,2018,0,,,
