GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder who is White alone,Margin of Error; Total: - Householder who is White alone,Estimate; Total: - Householder who is Black or African American alone,Margin of Error; Total: - Householder who is Black or African American alone,Estimate; Total: - Householder who is American Indian and Alaska Native alone,Margin of Error; Total: - Householder who is American Indian and Alaska Native alone,Estimate; Total: - Householder who is Asian alone,Margin of Error; Total: - Householder who is Asian alone,Estimate; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Householder who is Some other race alone,Margin of Error; Total: - Householder who is Some other race alone,Estimate; Total: - Householder who is Two or more races:,Margin of Error; Total: - Householder who is Two or more races:,Estimate; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,"Estimate; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races","Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races"
1500000US060376007021,060376007021,"Block Group 1, Census Tract 6007.02, Los Angeles County, California",352,72,9,16,332,72,0,12,0,12,0,12,0,12,11,20,0,12,11,20
1500000US060376007022,060376007022,"Block Group 2, Census Tract 6007.02, Los Angeles County, California",318,85,0,12,258,79,0,12,0,12,0,12,45,49,15,24,0,12,15,24
1500000US060376007023,060376007023,"Block Group 3, Census Tract 6007.02, Los Angeles County, California",701,106,22,32,569,127,0,12,51,48,0,12,59,46,0,12,0,12,0,12
1500000US060376007031,060376007031,"Block Group 1, Census Tract 6007.03, Los Angeles County, California",910,54,37,22,843,61,0,12,7,9,0,12,0,12,23,24,0,12,23,24
1500000US060376007041,060376007041,"Block Group 1, Census Tract 6007.04, Los Angeles County, California",518,76,10,14,440,80,0,12,8,12,0,12,36,31,24,36,0,12,24,36
1500000US060376007042,060376007042,"Block Group 2, Census Tract 6007.04, Los Angeles County, California",699,75,48,37,606,82,0,12,0,12,0,12,24,26,21,35,0,12,21,35
1500000US060376008011,060376008011,"Block Group 1, Census Tract 6008.01, Los Angeles County, California",330,89,32,32,259,84,0,12,0,12,13,20,17,25,9,15,9,15,0,12
1500000US060376008012,060376008012,"Block Group 2, Census Tract 6008.01, Los Angeles County, California",229,63,21,33,191,63,0,12,0,12,0,12,17,26,0,12,0,12,0,12
1500000US060376008013,060376008013,"Block Group 3, Census Tract 6008.01, Los Angeles County, California",266,74,53,62,197,65,0,12,0,12,0,12,16,28,0,12,0,12,0,12
1500000US060376008014,060376008014,"Block Group 4, Census Tract 6008.01, Los Angeles County, California",434,92,58,51,364,91,0,12,0,12,0,12,12,18,0,12,0,12,0,12
1500000US060376008021,060376008021,"Block Group 1, Census Tract 6008.02, Los Angeles County, California",359,82,10,15,349,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060376008022,060376008022,"Block Group 2, Census Tract 6008.02, Los Angeles County, California",388,99,10,14,337,105,12,19,6,10,0,12,11,17,12,18,0,12,12,18
1500000US060376008023,060376008023,"Block Group 3, Census Tract 6008.02, Los Angeles County, California",397,97,19,21,300,85,0,12,0,12,0,12,78,61,0,12,0,12,0,12
1500000US060376009021,060376009021,"Block Group 1, Census Tract 6009.02, Los Angeles County, California",476,110,79,64,278,104,0,12,0,12,0,12,98,53,21,35,0,12,21,35
1500000US060376009022,060376009022,"Block Group 2, Census Tract 6009.02, Los Angeles County, California",715,153,113,73,459,133,11,18,0,12,27,41,105,73,0,12,0,12,0,12
1500000US060376009023,060376009023,"Block Group 3, Census Tract 6009.02, Los Angeles County, California",409,101,129,70,213,97,0,12,0,12,0,12,42,41,25,39,0,12,25,39
1500000US060376009024,060376009024,"Block Group 4, Census Tract 6009.02, Los Angeles County, California",904,138,144,79,601,147,0,12,4,8,17,28,138,71,0,12,0,12,0,12
1500000US060376009111,060376009111,"Block Group 1, Census Tract 6009.11, Los Angeles County, California",410,82,213,70,127,69,0,12,0,12,0,12,58,49,12,20,12,20,0,12
1500000US060376009112,060376009112,"Block Group 2, Census Tract 6009.11, Los Angeles County, California",679,84,225,66,300,75,25,31,10,12,0,12,103,61,16,20,0,12,16,20
1500000US060376009121,060376009121,"Block Group 1, Census Tract 6009.12, Los Angeles County, California",720,91,273,76,204,67,0,12,0,12,0,12,232,109,11,13,0,12,11,13
1500000US060376009122,060376009122,"Block Group 2, Census Tract 6009.12, Los Angeles County, California",533,78,282,83,89,45,6,11,0,12,0,12,149,60,7,10,0,12,7,10
1500000US060376009123,060376009123,"Block Group 3, Census Tract 6009.12, Los Angeles County, California",248,66,135,63,64,31,0,12,14,16,18,27,17,18,0,12,0,12,0,12
1500000US060376010011,060376010011,"Block Group 1, Census Tract 6010.01, Los Angeles County, California",227,72,8,14,178,73,11,18,0,12,0,12,23,22,7,10,0,12,7,10
1500000US060376010012,060376010012,"Block Group 2, Census Tract 6010.01, Los Angeles County, California",806,95,233,80,563,95,0,12,0,12,0,12,10,16,0,12,0,12,0,12
1500000US060376010021,060376010021,"Block Group 1, Census Tract 6010.02, Los Angeles County, California",535,119,66,58,244,94,0,12,29,32,0,12,161,86,35,48,0,12,35,48
1500000US060376010022,060376010022,"Block Group 2, Census Tract 6010.02, Los Angeles County, California",864,153,121,81,568,152,0,12,34,39,0,12,141,69,0,12,0,12,0,12
1500000US060376010023,060376010023,"Block Group 3, Census Tract 6010.02, Los Angeles County, California",696,117,67,46,578,128,0,12,0,12,0,12,36,35,15,24,0,12,15,24
1500000US060376011001,060376011001,"Block Group 1, Census Tract 6011, Los Angeles County, California",621,147,146,77,352,130,0,12,0,12,7,13,101,81,15,24,0,12,15,24
1500000US060376011002,060376011002,"Block Group 2, Census Tract 6011, Los Angeles County, California",677,140,296,113,123,73,0,12,69,52,0,12,173,88,16,26,0,12,16,26
1500000US060376011003,060376011003,"Block Group 3, Census Tract 6011, Los Angeles County, California",842,159,119,83,413,141,22,37,47,47,0,12,208,122,33,56,0,12,33,56
1500000US060376012021,060376012021,"Block Group 1, Census Tract 6012.02, Los Angeles County, California",515,95,298,100,23,23,0,12,12,17,0,12,182,85,0,12,0,12,0,12
