GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",74,48,66,49,43,32,23,36,23,36,0,12,8,15,0,12,8,15
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",18,21,18,21,18,21,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",130,77,100,72,0,12,100,72,41,50,59,54,30,46,30,46,0,12
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",80,57,63,58,63,58,0,12,0,12,0,12,17,20,17,20,0,12
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",98,50,55,29,55,29,0,12,0,12,0,12,43,40,43,40,0,12
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",140,54,91,46,70,39,21,22,0,12,21,22,49,39,41,37,8,10
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",73,54,47,36,47,36,0,12,0,12,0,12,26,39,26,39,0,12
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",126,56,73,44,58,41,15,19,5,10,10,16,53,58,53,58,0,12
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",132,39,120,39,66,34,54,38,16,24,38,34,12,14,7,10,5,10
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",224,53,217,55,126,54,91,50,25,31,66,44,7,11,0,12,7,11
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",219,83,214,81,128,76,86,54,0,12,86,54,5,8,0,12,5,8
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",31,22,25,23,25,23,0,12,0,12,0,12,6,11,0,12,6,11
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",100,45,94,43,59,41,35,32,15,25,20,20,6,8,6,8,0,12
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",63,33,60,36,32,25,28,29,15,22,13,18,3,8,0,12,3,8
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",15,17,15,17,15,17,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",39,27,32,24,32,24,0,12,0,12,0,12,7,12,7,12,0,12
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",92,57,74,53,53,46,21,30,21,30,0,12,18,19,18,19,0,12
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",93,58,86,56,58,48,28,41,0,12,28,41,7,11,0,12,7,11
