"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant"
"1600000US0610494","Camp Nelson CDP, California","273","126","0","12","273","126"
"1600000US0610508","Campo CDP, California","1294","215","917","146","377","194"
"1600000US0610676","Camptonville CDP, California","104","32","77","32","27","18"
"1600000US0610732","Canby CDP, California","48","52","48","52","0","12"
"1600000US0611376","Carmet CDP, California","45","49","0","12","45","49"
"1600000US0611418","Carnelian Bay CDP, California","928","80","222","69","706","90"
"1600000US0611754","Casmalia CDP, California","36","27","36","27","0","12"
"1600000US0611768","Caspar CDP, California","315","153","315","153","0","12"
"1600000US0611782","Cassel CDP, California","160","77","86","59","74","66"
"1600000US0611796","Castaic CDP, California","5844","155","5743","158","101","63"
"1600000US0611915","Castle Hill CDP, California","438","91","438","91","0","12"
"1600000US0612062","Catheys Valley CDP, California","503","117","437","121","66","74"
"1600000US0612146","Cazadero CDP, California","296","60","131","45","165","61"
"1600000US0612300","Cedar Ridge CDP, California","862","117","510","87","352","92"
"1600000US0678652","Three Rocks CDP, California","44","41","44","41","0","12"
"1600000US0678715","Timber Cove CDP, California","167","36","82","28","85","28"
"1600000US0678932","Tonyville CDP, California","165","80","165","80","0","12"
"1600000US0678949","Tooleville CDP, California","117","77","95","69","22","34"
"1600000US0678960","Topanga CDP, California","3493","224","3134","257","359","182"
"1600000US0679030","Topaz CDP, California","51","44","51","44","0","12"
"1600000US0680364","Tres Pinos CDP, California","225","34","212","34","13","14"
"1600000US0680476","Trinity Center CDP, California","397","61","87","39","310","57"
"1600000US0680483","Trinity Village CDP, California","292","59","145","50","147","44"
"1600000US0680515","Trona CDP, California","19","11","15","13","4","7"
"1600000US0680560","Trowbridge CDP, California","91","33","89","34","2","3"
"1600000US0680882","Tuttle CDP, California","33","43","33","43","0","12"
"1600000US0680896","Tuttletown CDP, California","447","123","447","123","0","12"
"1600000US0681778","Valley Ford CDP, California","39","51","39","51","0","12"
"1600000US0681792","Valley Home CDP, California","73","24","73","24","0","12"
"1600000US0681925","Valley Wells CDP, California","0","12","0","12","0","12"
"1600000US0682334","Verdi CDP, California","117","53","93","51","24","28"
"1600000US0682562","Victor CDP, California","201","105","151","108","50","81"
"1600000US0682786","Vina CDP, California","86","46","86","46","0","12"
"1600000US0683085","Vista Santa Rosa CDP, California","1022","149","855","135","167","92"
"1600000US0683094","Volcano CDP, California","60","47","35","40","25","40"
"1600000US0683108","Volta CDP, California","90","63","90","63","0","12"
"1600000US0683262","Walker CDP, California","496","105","327","91","169","94"
"1600000US0683460","Warm Springs CDP, California","580","114","550","115","30","46"
"1600000US0683494","Warner Valley CDP, California","86","38","0","12","86","38"
"1600000US0683570","Washington CDP, California","83","36","30","24","53","26"
"1600000US0683626","Waterloo CDP, California","222","84","222","84","0","12"
"1600000US0683724","Waukena CDP, California","64","24","57","23","7","10"
"1600000US0683766","Wawona CDP, California","363","92","76","44","287","86"
"1600000US0684780","West Rancho Dominguez CDP, California","6463","237","6252","246","211","102"
"1600000US0684004","Weott CDP, California","154","65","121","74","33","40"
"1600000US0684345","West Goshen CDP, California","142","91","142","91","0","12"
"1600000US0684680","West Park CDP, California","309","58","275","56","34","32"
"1600000US0685222","Whitley Gardens CDP, California","111","92","60","44","51","84"
"1600000US0685866","Wilsonia CDP, California","423","126","0","12","423","126"
"1600000US0686230","Woodbridge CDP, California","1541","116","1485","131","56","58"
"1600000US0686380","Woodlands CDP, California","838","151","773","161","65","69"
"1600000US0686678","Yankee Hill CDP, California","184","52","156","51","28","32"
