"GEO_ID","NAME","B25026_001E","B25026_001M","B25026_002E","B25026_002M","B25026_003E","B25026_003M","B25026_004E","B25026_004M","B25026_005E","B25026_005M","B25026_006E","B25026_006M","B25026_007E","B25026_007M","B25026_008E","B25026_008M","B25026_009E","B25026_009M","B25026_010E","B25026_010M","B25026_011E","B25026_011M","B25026_012E","B25026_012M","B25026_013E","B25026_013M","B25026_014E","B25026_014M","B25026_015E","B25026_015M"
"id","Geographic Area Name","Estimate!!Total population in occupied housing units","Margin of Error!!Total population in occupied housing units","Estimate!!Total population in occupied housing units!!Owner occupied","Margin of Error!!Total population in occupied housing units!!Owner occupied","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier","Estimate!!Total population in occupied housing units!!Renter occupied","Margin of Error!!Total population in occupied housing units!!Renter occupied","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier"
"1600000US0618464","Delhi CDP, California","11721","957","8201","1173","515","616","559","499","1261","533","3375","875","1740","828","751","381","3520","980","278","335","856","523","1577","714","696","421","83","100","30","38"
"1600000US0619612","Dos Palos city, California","5244","37","3453","611","30","38","361","305","950","508","1338","584","329","233","445","267","1791","617","34","54","448","333","1139","579","104","95","66","63","0","17"
"1600000US0631960","Hanford city, California","55423","150","31052","1663","971","417","2050","627","8298","1282","9984","1160","5790","1076","3959","578","24371","1601","2948","915","4586","1004","12540","1322","3512","867","306","227","479","456"
"1600000US0668014","San Juan Bautista city, California","2106","431","884","278","40","66","86","99","189","117","286","165","106","66","177","113","1222","387","81","93","282","190","474","191","380","282","5","9","0","12"
"1600000US0648928","Monte Rio CDP, California","1156","236","777","228","0","12","55","56","17","18","207","98","120","85","378","200","379","165","16","26","19","29","117","101","139","91","0","12","88","117"
"1600000US0672646","Sonoma city, California","10842","124","6944","622","159","175","404","194","1578","470","2522","625","1133","381","1148","373","3898","608","420","195","397","249","2385","530","633","236","63","50","0","19"
"1600000US0685922","Windsor town, California","27433","47","20788","1009","339","190","1493","417","4643","904","7623","978","4805","718","1885","464","6645","1004","262","132","829","257","3179","786","2056","741","319","211","0","23"
"1600000US0672772","Soulsbyville CDP, California","2286","527","1651","435","427","380","44","45","322","187","363","250","229","145","266","190","635","303","126","133","0","12","437","255","72","118","0","12","0","12"
"1600000US0609122","Burney CDP, California","3649","435","2257","477","103","102","39","44","937","426","439","201","324","155","415","162","1392","404","98","112","368","206","634","321","270","192","0","12","22","35"
"1600000US0644700","McArthur CDP, California","386","254","225","210","0","12","0","12","91","147","22","59","62","99","50","80","161","209","0","12","0","12","161","209","0","12","0","12","0","12"
"1600000US0601444","Alturas city, California","2537","32","1597","215","38","54","156","111","376","145","305","160","497","208","225","100","940","214","200","120","265","138","412","208","63","44","0","12","0","12"
"1600000US0684928","Westwood CDP, California","1545","379","1097","313","33","52","61","73","381","234","44","58","168","100","410","160","448","220","0","12","62","90","258","179","89","80","39","60","0","12"
"1600000US0633588","Highland city, California","54707","77","34682","1590","566","293","2488","593","7137","1198","13825","1314","7065","885","3601","664","20025","1586","1860","807","3285","955","10995","1563","2927","881","543","247","415","213"
"1600000US0687056","Yucca Valley town, California","21325","89","12896","1009","1032","534","2329","830","2280","655","3843","951","1752","532","1660","593","8429","1021","449","353","2840","764","4434","1021","666","346","13","21","27","30"
"1600000US0637554","Joshua Tree CDP, California","6830","890","3159","555","268","270","214","222","904","521","905","340","580","277","288","157","3671","884","627","446","786","495","1918","810","291","160","0","17","49","76"
"1600000US0649348","Morongo Valley CDP, California","3258","392","2621","391","220","167","254","118","641","274","906","289","313","145","287","151","637","233","25","27","20","22","507","220","85","120","0","12","0","12"
"1600000US0653896","Ontario city, California","172831","157","93402","2722","2479","570","6058","1100","17116","1701","30422","2210","20834","1745","16493","1193","79429","2715","4158","839","11492","1500","42445","2706","16146","1689","3947","924","1241","454"
"1600000US0643252","Los Alamos CDP, California","1623","637","576","257","0","12","16","24","23","34","319","235","149","120","69","117","1047","649","0","12","0","12","119","184","659","582","269","457","0","12"
"1600000US0648147","Mission Canyon CDP, California","2755","366","2407","393","58","86","152","135","349","203","455","171","629","348","764","234","348","188","78","97","0","12","115","96","110","96","0","12","45","82"
